scenario;2023;2024;2025;2026;2027;2028
0;32.0;32.1;32.2;32.3;32.4;32.5
1;32.0;33.8;36.0;38.9;42.4;46.7
2;32.0;33.0;34.7;36.9;38.6;39.7
3;32.0;32.7;32.9;32.5;31.2;29.1
