original_dmo,original_coordinates,original_latitude,original_longitude,distance,formatted,lat,lon,name,housenumber,street,postcode,district,suburb,city,county,county_code,state,state_code,country,country_code,attribution,attribution_license,attribution_url
Trentino Marketing,"46.07373949115495, 11.121791204881385",46.073739491155,11.1217912048814,0,"Centro Europa, Via Gian Domenico Romagnosi, 11, 38122 Trento TN, Italia",46.0738029,11.1217709,Centro Europa,11,Via Gian Domenico Romagnosi,38122,,San Martino,Trento,Provincia di Trento,,Trentino-Alto Adige,TRE,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Trentino MICE Convention Bureau,"45.88403332607806, 10.845713643121373",45.8840333260781,10.8457136431214,0,"Centro congressi, Via H. Sudermann, 38066 Riva del Garda TN, Italia",45.88377405,10.84554991530679,Centro congressi,,Via H. Sudermann,38066,,,Riva del Garda,Provincia di Trento,,Trentino-Alto Adige,TRE,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Trento, Monte Bondone s.cons.a r.l.","46.07038018431259, 11.121142426127022",46.0703801843126,11.121142426127,1.6730402086810041,"APT Trento e Monte Bondone, Piazza Dante, 24, 38122 Trento TN, Italia",46.0703885,11.1211605,APT Trento e Monte Bondone,24,Piazza Dante,38122,Comune di Trento,Centro storico,Trento,Provincia di Trento,,Trentino-Alto Adige,TRE,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Turismo Riviera dei Fiori,"43.88836698753472, 8.038709613180345",43.8883669875347,8.03870961318034,0,"Camera di Commercio, Via Giuseppe De Sonnaz, 18100 Imperia Provincia di Imperia, Italia",43.8885896,8.038667438507659,Camera di Commercio,,Via Giuseppe De Sonnaz,18100,,Oneglia,Imperia,Provincia di Imperia,,Liguria,LIG,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Turismo Torino e Provincia s.c.r.l.,"45.06723374452309, 7.6864480242644655",45.0672337445231,7.68644802426447,2.892426440332781,"Via Maria Vittoria, 19, 10123 Torino Torino, Italia",45.0672111,7.6864299,,19,Via Maria Vittoria,10123,,Centro,Torino,Torino,TO,Piemonte,PIE,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Val d'Ega Turismo Soc. Coop.,"46.43045677381271, 11.541667726173237",46.4304567738127,11.5416677261732,2.5062284973084523,"Via Dolomiti, 4, 39056 Nova Levante BZ, Italia",46.4304787,11.5416753,,4,Via Dolomiti,39056,Nova Levante,,Nova Levante,Bolzano,BZ,Trentino-Alto Adige,TRE,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Valdichiana Living Tours & Vacation Tuscany,"43.09305781382427, 11.781047425968303",43.0930578138243,11.7810474259683,0,"Palazzo del Capitano, Via Ricci, 2, 53045 Montepulciano SI, Italia",43.0930405,11.7809259,Palazzo del Capitano,2,Via Ricci,53045,,Bivio San Biagio,Montepulciano,Siena,SI,Toscana,TOS,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Valle d'Aosta - Ufficio Regionale del Turismo,"45.74231614266671, 7.323913464583649",45.7423161426667,7.32391346458365,0,"Parcheggio Consolata, Strada Consolata, 11100 Aosta, Italia",45.7422714,7.32413040146596,Parcheggio Consolata,,Strada Consolata,11100,,,Aosta,,,Valle d'Aosta,VAL,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Varese Turismo,"45.81721120474522, 8.82530524894321",45.8172112047452,8.82530524894321,7.294015523823179,"Infopoint Varese, Piazza Monte Grappa, 5, 21100 Varese VA, Italia",45.8172702,8.8252641,Infopoint Varese,5,Piazza Monte Grappa,21100,Motta,Biumo Inferiore,Varese,Varese,VA,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Verona,"45.43214727533043, 10.987523528563468",45.4321472753304,10.9875235285635,0,"Camera di Commercio di Verona, Corso Porta Nuova, 96, 37122 Verona VR, Italia",45.4320461,10.987906275356277,Camera di Commercio di Verona,96,Corso Porta Nuova,37122,,San Zeno,Verona,Verona,VR,Veneto,VEN,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Vicenza Convention Bureau,"45.54236070530616, 11.509530337377164",45.5423607053062,11.5095303373772,0,"Camera di Commercio, Industria, Artigianato e Agricoltura, Via Eugenio Montale, 27, 36100 Vicenza VI, Italia",45.54232855,11.50947345,"Camera di Commercio, Industria, Artigianato e Agricoltura",27,Via Eugenio Montale,36100,,Pomari,Vicenza,Vicenza,VI,Veneto,VEN,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Visit Brescia,"45.53433714037563, 10.218891496612851",45.5343371403756,10.2188914966129,11.253435800697012,"Via Luigi Einaudi, 22, 25121 Brescia BS, Italia",45.534397,10.218775,,22,Via Luigi Einaudi,25121,Comune di Brescia,,Brescia,Brescia,BS,Lombardia,LOM,Italia,it,© OpenAddresses contributors,BSD-3-Clause License,
Visit Castelli Romani,"41.711623400975334, 12.690560711392502",41.7116234009753,12.6905607113925,28.50213079409362,"Biblioteca Comunale ""Carlo Levi"", Viale Giuseppe Mazzini, 12, 00045 Genzano di Roma Roma, Italia",41.711999649999996,12.69068365,"Biblioteca Comunale ""Carlo Levi""",12,Viale Giuseppe Mazzini,00045,,,Genzano di Roma,Roma,RM,Lazio,LAZ,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Visit Limone sul Garda,"45.813595666175765, 10.79182318065154",45.8135956661758,10.7918231806515,29.80740309648696,"Albergo Susy, Via Quattro Novembre, 46, 25010 Limone sul Garda BS, Italia",45.8136059,10.7922075,Albergo Susy,46,Via Quattro Novembre,25010,Comune di Limone sul Garda,,Limone sul Garda,Brescia,BS,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Visit Piemonte,"45.07149945350246, 7.6781553167125995",45.0714994535025,7.6781553167126,30.333414233664826,"MathWorks Italia, Via Antonio Giuseppe Bertola, 34, 10122 Torino Torino, Italia",45.0713913,7.6778007,MathWorks Italia,34,Via Antonio Giuseppe Bertola,10122,Torino,Centro,Torino,Torino,TO,Piemonte,PIE,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Visit Rovereto,"45.89122862198794, 11.040915914861689",45.8912286219879,11.0409159148617,0,"Poste Centrale, Largo Posta, 38068 Rovereto TN, Italia",45.89121085,11.040994358992998,Poste Centrale,,Largo Posta,38068,,Santa Maria,Rovereto,Provincia di Trento,,Trentino-Alto Adige,TRE,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
West of Sicily,"38.01759539430212, 12.52609030671987",38.0175953943021,12.5260903067199,2.0537270284891727,"Via Mafalda di Savoia, 91100 Trapani TP, Italia",38.016612,12.5262945,Via Mafalda di Savoia,,Via Mafalda di Savoia,91100,,,Trapani,Trapani,TP,Sicilia,SIC,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
