"season","intention","value"
"Summer 2023","use",5
"Autumn 2023","use",8
"Summer 2023","planned",28
"Autumn 2023","planned",18
"Summer 2023","no",64
"Autumn 2023","no",74
"Summer 2023","not_know",4
"Autumn 2023","not_know",1
