"season","intention","value"
"Autumn 2022","not_sure",0
"Summer 2023","not_sure",3
"Autumn 2023","not_sure",3
"Autumn 2023","less",6
"Autumn 2023","more",11
"Summer 2023","less",16
"Autumn 2022","less",18
"Autumn 2022","more",28
"Summer 2023","more",29
"Summer 2023","same",53
"Autumn 2022","same",55
"Autumn 2023","same",80
