"season","intention","value"
"Autunno 2022","less",18
"Autunno 2022","same",55
"Autunno 2022","more",28
"Autunno 2022","not_sure",0
"Estate 2023","less",16
"Estate 2023","same",53
"Estate 2023","more",29
"Estate 2023","not_sure",3
"Autunno 2023","less",6
"Autunno 2023","same",80
"Autunno 2023","more",11
"Autunno 2023","not_sure",3
"Media UE (autunno 2023)","less",9
"Media UE (autunno 2023)","same",78
"Media UE (autunno 2023)","more",12
"Media UE (autunno 2023)","not_sure",2
