"scenario","year","value"
0,2023,32
0,2024,32.1
0,2025,32.2
0,2026,32.3
0,2027,32.4
0,2028,32.5
1,2023,32
1,2024,33.8
1,2025,36
1,2026,38.9
1,2027,42.4
1,2028,46.7
2,2023,32
2,2024,33
2,2025,34.7
2,2026,36.9
2,2027,38.6
2,2028,39.7
3,2023,32
3,2024,32.7
3,2025,32.9
3,2026,32.5
3,2027,31.2
3,2028,29.1
