type,value
Hotels,40
Flight tickets,35
Train tickets (long distance),27
Vacation apartment or house,27
Car rentals,12
Bus tickets (long distance),11
Package holidays,9
Camping site,4
Cruises,4
Ride sharing / carpooling (long distance travel),2
Campervan / motorhome rentals,1
None of the above,22
